Jurisdiction,Priority Alignment Shortcode,Priority Alignment,Priority Alignment Description,Shared Priorities,Policy Identifier,Policy Description,Elements,Strategy List,Commonalities (Non-Specific),Commonalities (Specific),General Terms of Commonalities (Specific),Jurisdiction Total (Verticle),Policy Total
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,PAR OS 10.1,Provide for orderly and efficient wind energy development in a manner that maximizes beneficial uses of the wind resource and minimizes detrimental effects to the residents and the environment of the county. ,C,Wind Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,PAR OS 11.4,Encourage site-planning and building design that maximizes solar energy use/potential in future development applications.  (AI 70)  ,B,Solar Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,PAR OS 12.1,"Allow for the development of non-electrical, direct heat uses of geothermal heat and fluids for space, agricultural, and industrial heating in situations and localities where naturally occurring hydrothermal features will not be degraded. (AI 71) ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Policy 14.1,"Establish the City as a regional leader in sustainable development and encourage compact, higher-density development that conserves land resources, protects habitat, supports transit, reduces vehicle trips, improves air quality, conserves energy and water and diversifies the housing stock in the Coachella Valley. ",A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.10 New industries,"Actively promote the City as a place for renewable energy generation, and a place for energy conservation businesses to locate. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.8 Renewable energy–open space areas,Allow the installation of renewable energy systems in areas zoned for open space.,A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.9 Energy-efficient street lighting,Implement a program to install the latest energy efficient technologies for street and parking lot lights to meet City and state standards. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.1 Community development–subdivisions,"When reviewing applications for new subdivisions, require all residences be oriented along an east-west access, minimizing western sun exposure, to maximize energy efficiency. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.2 Passive solar design,"Require new buildings to incorporate energy efficient building and site design strategies for the desert environment that include appropriate solar orientation, thermal mass, use of natural daylight and ventilation, and shading.","B,F","Solar Energy, Energy Conservation Techniques in New Developments",Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.3 Alternative energy,"Promote the incorporation of alternative energy generation (e.g., solar, wind, biomass) in public and private development. ","B,C","Solar Energy, Wind Energy",Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.5 Construction standards,Consider and evaluate new construction practices and standards that increase building energy efficiency. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.6 Energy performance targets – new construction,Require new construction to exceed Title 24 energy efficiency standards by 15 percent and incorporate solar photovoltaics. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.7 Energy performance targets – existing buildings,"When existing buildings undergo major retrofits, require the buildings to exceed Title 24 energy efficiency standards by 15 percent and encourage solar photovoltaics ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.12 Solar access,"Prohibit new development and renovations that impair adjacent buildings’ solar access, unless it can be demonstrated that the shading benefits substantially offset the impacts of solar energy generation potential. ",B,Solar Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.13 Use of passive open space,"Allow renewable energy projects in areas zoned for open space, where consistent with other uses and values.",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,SNE 2.14 Public buildings,"Require that any new building constructed in whole or in part with City funds incorporate passive solar design features, such as daylighting and passive solar heating, where feasible. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.2,"Encourage and promote all new developments to be constructed with energy efficient lighting, air conditioning, and heating systems. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.3,Encourage and promote all new developments to be designed structurally to maximize cooling efficiency and natural shade.,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.4,Encourage and promote all new developments to incorporate trees to maximize natural shade and air pollution control. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.7,Develop incentives that encourage the use of energy conservation strategies by private and public developments. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.8,Promote or provide incentives for “Green Building” programs that go beyond the requirements of Title 24 of the California Administrative Code and encourage energy efficient design elements as appropriate to achieve “green building” status ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.9,Consider the creation and adoption of a green building ordinance. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.10,Promote the use of automated time clocks or occupant sensors to control central heating and air conditioning.,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.11,Utilize all available renewable energy sources to reduce fuel consumption and demand on the power grid. ,A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Policy 1.4.6,"Provide incentives to promote siting or use of clean air technologies (e.g., fuel cell technologies, renewable energy sources, UV coatings, hydrogen fuel). ",A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Goal 6,Energy Efficient and Sustainable Growth ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,RM Objective 6.1,Conserve energy resources through use of energy technology and conservation practices. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Implementation Measures,Identify opportunities and incentives for new and emerging industries such as solar or geothermal energy industries ,"A, B, C","Renewable Energy, Solar Energy, Wind Energy",Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.1,"Require new construction to go beyond minimum energy efficiency standards established in the CalGreen Code by meeting Tier I or Tier II levels for projects over 10,000 square feet in size. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.2,Require new development to minimize the consumption of nonrenewable energy sources. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.3,Require community/neighborhood designs that minimize energy use. For example: - Identify and implement programs to facilitate safe and pleasant pedestrian circulation.   - Establish and maintain a communitywide system of bicycle lanes and coordinate the development of a regional bicycle system with neighboring jurisdictions. - Promote the development of fueling facilities for alternative fuel vehicles. - Promote development and redevelopment of mixed use designs that allow residents to live near where they work and shop. ,F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.4,"Promote site designs that minimize energy use. For example: - Develop building groups or clusters with plazas or open areas that promote exterior accessibility and enjoyment within a protected environment. - Construct internal circulation roadways at the minimum widths necessary for safe circulation to minimize solar reflection and heat radiation. - Where possible, locate reflective surfaces on the north and east side of buildings to minimize potential heat gain and reflection to adjacent buildings.- Use light-colored pavement to reduce the urban “heat island” effect. - Orient the maximum amount of non-reflective glass possible toward the south to maximize solar access. - Incorporate the use of broad, deciduous trees in landscape plans, especially near buildings and in and around large expanses of parking lots or other paved areas. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.5,"Promote building designs that minimize energy use. For example: - Use appropriate building shapes and locations to promote maximum feasible solar access to individual units. - Design individual buildings to maximize natural internal lighting through the use of court wells, interior patio areas, and building architecture. - Promote light colored roofs to reduce the urban heat island effect, unless a passive heating system is incorporated with a darker roof. - Use canopies and overhangs to shade windows during summer months while allowing for reflection of direct sunlight during winter months. - Install windows and vents in commercial and industrial buildings to provide the opportunity for natural ventilation. - Incorporate deciduous vines on walls, trellises and canopies to shade south and west facing walls to cool them in summer months. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.6,"Support and encourage the installation of solar photovoltaic panels, solar hot water heaters, and other forms of renewable energy production ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.7,"Minimize the amount of energy consumed by City operations by taking a leadership role in the application of new technologies at City facilities. As feasible, cooperate with Southern California Edison and the Imperial County Air Pollution Control District to set up energy conservation demonstration projects, and to serve as a laboratory for testing new energy conservation techniques.",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Calipatria,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Policy COS-16.8,"Support state and federal legislation that would, in an appropriate manner, make progress toward eliminating wasteful energy consumption. ",F,Energy Conservation Techniques in New Developments,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Policy 2.7,"Incorporate sustainable and Smart Growth principles in all new developments and, to the extent possible, when updating existing developments to minimize adverse impacts of build-out on air quality, traffic, open space, water quality, energy, and other resources and optimize walkability, quality of life, and community vitality. ",A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,ED,Create incentives to encourage residential and commercial property owners to retrofit existing buildings with energy efficient and renewable energy technologies ,"A, F","Renewable Energy, Energy Conservation Techniques in New Developments",Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,ED,"Partner with the IVEDC, Imperial County and other regional partners to attract renewable energy investment to El Centro",A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Policy 3.15,Support development of renewable energy ,A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Policy 1.3,Identify compatible renewable energy projects ,A,Renewable Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,LU Description of Heavy Industrial Zoning,"Electrical and other energy generating facilities are heavy industrial uses, except, hydroelectric, and renewable energy facilities may be regulated differently than other types of power plants by implementing zoning including the RE Overlay Zone and Conditional Use Permit process. ","A, E","Renewable Energy, Hydraulic Energy",Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Renewable Energy,Prioritize EJ communities,"Support for housing electrification, solar installation, and home weatherization. ",B,Solar Energy,Sustainable Development Practices / Environmental and Climate Benefits,Renewable Energy,Renewable Energy,6/7,15
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,EJ Policy 16.14,"Assure that sensitive receptors are separated and protected from polluting point sources, as feasible, including agricultural businesses that produce or use pesticides and chemical fertilizers. ",D,Industrial Zoning to Support Agriculture,Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 3.6,"Require private developers to be primarily responsible for the improvement of streets and highways that serve as access to developing commercial, industrial, and residential areas. These may include road construction or widening, installation of turning lanes and traffic signals, and the improvement of any drainage facility or other auxiliary facility necessary for the safe and efficient movement of traffic or the protection of road facilities. ","A, D, E","Improvement Supports (Circulation/Roadway/Railway), Industrial Zoning to Support Agriculture, Private Investment",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 3.8,Restrict heavy duty truck through-traffic in residential and community center areas and plan land uses so that trucks do not need to traverse these areas. ,"A, C, D","Improvement Supports (Circulation/Roadway/Railway), Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 3.9,"Design off-street loading facilities for all new commercial and industrial developments so that they do not face surrounding roadways or residential neighborhoods. Truck backing and maneuvering to access loading areas shall not be permitted on the public road system, except when specifically permitted by the Transportation Department. ","A, D","Improvement Supports (Circulation/Roadway/Railway), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 3.7,Design interior collector street systems for commercial and industrial subdivisions to accommodate the movement of heavy trucks. ,"A, C, D","Improvement Supports (Circulation/Roadway/Railway), Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 2.6,"Accelerate the construction of transportation infrastructure in the Highway 79 corridor between Temecula, Hemet, San Jacinto, and Banning. The County of Riverside shall require that all new development projects demonstrate adequate transportation infrastructure capacity to accommodate the added traffic growth. The County of Riverside shall coordinate with cities in the Highway 79 corridor to accelerate the usable revenue flow of existing funding programs, thus expediting the development of the transportation infrastructure. ","A, C, D, E","Improvement Supports (Circulation/Roadway/Railway), Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture, Private Investment",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,LU Policy 20.2,"Protect agricultural uses, including those with industrial characteristics (dairies, poultry, hog farms, etc.) by discouraging inappropriate land division in the immediate proximity and allowing only uses and intensities that are compatible with agricultural uses. ","B, C, D, E","Conservation Easement Development, Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture, Private Investment",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,LU Policy,20.4: Encourage conservation of productive agricultural lands. Preserve prime agricultural lands for high-value crop production. ,"B, D, E","Conservation Easement Development, Industrial Zoning to Support Agriculture, Private Investment",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,LU Policy 20.10,Allow agriculturally related retail uses such as feed stores and permanent produce stands in all areas and land use designations. It is not the County’s intent pursuant to this policy to subject agricultural related uses to any discretionary permit requirements other than those in existence at the time of adoption of the General Plan. ,D,Industrial Zoning to Support Agriculture,Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Riverside County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,LU Policy 8.8,"Stimulate industrial/business-type clusters that facilitate competitive advantage in the marketplace, provide attractive and well landscaped work environments, and fit with the character of our varied communities. ","D, E","Industrial Zoning to Support Agriculture, Private Investment",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,SNE Policy 5.4,"Preserve agriculturally important lands through conservation subdivisions, conservation easements and the transfer of development rights. ","B, D","Conservation Easement Development, Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 2.3,"Identify, implement, and maintain a system of truck routes within the City that minimizing negative impacts on local roads and sensitive land uses including residents, schools, parks, recreation facilities and other similar land uses. ","A, C, D","Improvement Supports (Circulation/Roadway/Railway), Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 2.4,Periodically review and update designated truck routes to ensure efficiency and limit negative impacts on residential areas and other sensitive land uses. ,"A, C, D","Improvement Supports (Circulation/Roadway/Railway), Creating Ag Transport Routes (Redirecting Routes), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Policy 2.6,Develop a localized anti-idling ordinance to limit truck idling by schools and residents. ,"A, D","Improvement Supports (Circulation/Roadway/Railway), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Infrastructure Support,CIR Goal 8,"A transportation system that provides an appropriate level of regional connectivity for residents and businesses through vehicular, freight, transit and non-motorized connections. ","A, D","Improvement Supports (Circulation/Roadway/Railway), Industrial Zoning to Support Agriculture",Infrastructure Development for Agriculture / Sustainable and Efficient Transportation,Improvement Supports (Circulation/Roadway/Railway),Making better roads and train tracks so goods and people can move more easily,7/7,40
